GZ01	GZ02	GZ03	GZ04	GZ05	GZ06	GZ07	GZ08	GZ09	GZ10	GZ11	GZ12	GZ13	GZ14	GZ15	BJ01	BJ02	BJ03	BJ04	BJ05	BJ06	BJ07	BJ08	BJ09	BJ10	BJ11	BJ12	BJ13	BJ14	BJ15	BJ16	BJ17	BJ18	BJ19	BJ20	BJ21	BJ22	BJ23	BJ24	BJ25	BJ26	BJ27	BJ28	BJ29	BJ30	BJ31	BJ32	BJ33	GZ16	GZ17	GZ18	GZ19	GZ20	GZ21	GZ22	GZ23	GZ24	GZ25	GZ26	GZ27	GZ28	GZ29
Enterobacteriaceae_Candidatus	4	13	222	31	202	212	28	12	8	96	589	308	2227	535	462	27	84	92	49	20	0	0	14	48	182	36	0	0	130	0	23	57	38	113	0	3251	13540	40	0	0	26	0	22	0	2	0	0	2	1	97	4	54	75	50	47	0	17	19	3	31	27	25
Porphyromonadaceae_Porphyromonas	0	0	0	29	0	2	0	0	0	328	270	1416	185	1766	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	63	8	661	38	278	67	243	24	15	0	552	10
Gossypium	0	11	127	43	74	79	15	0	9	37	227	185	805	258	322	0	7	19	15	2	0	0	6	15	15	1	0	0	48	0	0	19	3	18	0	0	48	13	0	2	5	0	6	0	4	0	0	0	0	26	11	36	17	11	0	2	0	0	9	22	35	27
Streptomycetaceae_Streptomyces	0	8	80	19	68	61	11	0	3	20	182	100	624	154	179	0	9	21	22	0	0	0	1	15	36	4	0	0	40	0	2	22	2	21	0	56	256	16	0	0	6	0	3	0	0	0	0	0	0	25	0	23	16	12	0	0	0	0	0	7	9	15
Xanthomonadaceae_Stenotrophomonas	0	6	26	12	4	8	6	1	4	2	50	70	104	94	151	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	21	0	8	0	0	0	0	0	9	9	12
Rhodobacteraceae_Roseobacter	0	2	7	2	0	2	2	0	10	0	24	34	68	39	86	0	4	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	18	0	5	0	0	0	0	2	2	4	3
Mitochondria_Phytophthora	0	2	6	2	1	0	0	1	0	3	11	18	47	14	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	18	0	1	0	0	0	0	0	1	3	12
Mitochondria_Plasmodium	0	2	1	0	0	0	0	1	0	0	7	19	35	12	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	4	0	0	0	0	0	0	0	2
Oryza	0	0	0	0	0	0	0	0	0	0	3	11	3	11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	8	0	0	0	0	0	2	0
Spirochaetaceae_Spirochaeta	0	0	0	0	1	0	0	0	0	2	10	6	2	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	5	0	2	1	1	0	0	0	3	0
Halomonadaceae_Halomonas	0	0	0	0	0	0	0	0	0	0	2	3	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	3	0	0	0	0	0	1	0
Mitochondria_Sclerospora	0	1	0	0	0	0	0	0	0	0	1	1	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
Vibrionaceae_Vibrio	0	0	0	0	0	0	0	0	0	0	0	2	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0
Lentimicrobiaceae_uncultured	0	0	0	0	0	0	0	0	0	0	0	3	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0
Planococcaceae_Kurthia	0	0	0	0	1	0	0	0	0	0	0	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptococcaceae_Desulfosporosinus	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
