BJ07	BJ08	BJ09	BJ11	BJ26	BJ28	BJ30	BJ32	BJ20	BJ22	BJ23	BJ25	BJ15	BJ16	BJ17	BJ18	BJ01	BJ02	BJ04	BJ05	BJ19	BJ33	BJ21	BJ10	BJ14	BJ03	GZ01	GZ10	GZ11	GZ12	GZ13	GZ14	GZ15	GZ17	GZ18	GZ19	GZ02	GZ20	GZ21	GZ22	GZ23	GZ24	GZ25	GZ26	GZ27	GZ28	GZ29	GZ03	GZ04	GZ05	GZ06	GZ07	GZ08	GZ09
Fungi;Blastocladiomycota;Incertae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Leptosphaeriaceae;Leptosphaeria;Gnophos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;Wiseana	0	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Onygenales;Incertae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;Aneugmenus	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1
Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;Antonina	0	0	1	1	1	1	0	0	0	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;Euaphidius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;Eysarcoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;Liogluta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;Manga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
