GZ01	GZ02	GZ03	GZ04	GZ05	GZ06	GZ07	GZ08	GZ09	GZ10	GZ11	GZ12	GZ13	GZ14	GZ15	BJ01	BJ02	BJ03	BJ04	BJ05	BJ06	BJ07	BJ08	BJ09	BJ10	BJ11	BJ12	BJ13	BJ14	BJ15	BJ16	BJ17	BJ18	BJ19	BJ20	BJ21	BJ22	BJ23	BJ24	BJ25	BJ26	BJ27	BJ28	BJ29	BJ30	BJ31	BJ32	BJ33	GZ16	GZ17	GZ18	GZ19	GZ20	GZ21	GZ22	GZ23	GZ24	GZ25	GZ26	GZ27	GZ28	GZ29
Abalone_herpesvirus_Victoria/AUS/2009	0	5	10	0	5	6	3	0	0	0	31	16	17	39	13	1	11	8	0	6	1	0	0	0	9	0	0	0	0	0	7	3	0	4	0	4	6	1	0	4	0	0	26	5	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0
Achromobacter_phage_83-24	40	0	0	0	6	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_bacteriophage_AP22	0	0	0	1	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	92	50	4	0	0	0	0	0	0	7	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_phage_LZ35	0	0	0	0	0	0	0	0	0	0	0	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	232	141	9	0	0	0	0	0	0	22	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_phage_vB_AbaM_Acibel004	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_phage_vB_AbaS_TRS1	0	0	0	0	0	0	0	0	0	0	0	58	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	409	23	18	0	0	0	0	0	0	39	0	73	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_phage_YMC-13-01-C62	0	0	0	0	0	0	0	0	0	0	0	31	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	212	141	8	0	0	0	0	0	0	22	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_phage_YMC/09/02/B1251_ABA_BP	0	0	0	99	0	0	0	0	0	0	0	1103	1	0	0	4	0	0	0	2	0	0	0	0	5	40	2	1	0	0	0	2	19761	0	12589	10479	414	2	0	0	0	0	0	817	0	3451	9	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_phage_YMC11/12/R2315	0	0	0	0	0	0	0	0	0	0	0	31	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	212	141	8	0	0	0	0	0	0	22	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
African_swine_fever_virus_strain_BA71V	0	0	0	0	0	1	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aggregatibacter_phage_S1249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agrotis_ipsilon_multiple_nucleopolyhedrovirus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcelaphine_herpesvirus_1	0	0	0	0	0	0	0	0	0	0	4	38	0	6	18	0	0	0	7	0	0	0	0	0	0	0	0	0	40	0	12	0	12	3	0	0	17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
Alcelaphine_herpesvirus_2_isolate_topi-AlHV-2	0	0	0	0	0	0	0	0	4	0	0	5	0	1	1	0	0	0	0	0	43	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	1	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amsacta_moorei_entomopoxvirus_'L'	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aotine_herpesvirus_1_strain_S34E	0	0	0	0	13	9	7	0	15	10	39	76	66	79	39	10	9	38	74	37	3	9	36	42	37	37	13	15	11	12	0	8	0	10	37	22	17	21	14	28	18	4	64	69	14	2	14	52	17	0	0	0	0	0	0	0	13	0	0	0	4	0
Ateline_alphaherpesvirus_1_isolate_Lennette	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ateline_herpesvirus_3_	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aureococcus_anophagefferens_virus_isolate_BtV-01	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Autographa_californica_nucleopolyhedrovirus	0	0	16	0	24	10	22	6	0	7	151	6	104	0	69	2	24	0	0	0	2	4	6	2	0	0	30	0	2	2	0	0	2	0	0	0	100	2	2	2	6	4	2	0	0	0	4	2	0	0	0	0	0	0	0	10	2	0	0	0	0	0
