GZ01	GZ02	GZ03	GZ04	GZ05	GZ06	GZ07	GZ08	GZ09	GZ10	GZ11	GZ12	GZ13	GZ14	GZ15	BJ01	BJ02	BJ03	BJ04	BJ05	BJ06	BJ07	BJ08	BJ09	BJ10	BJ11	BJ12	BJ13	BJ14	BJ15	BJ16	BJ17	BJ18	BJ19	BJ20	BJ21	BJ22	BJ23	BJ24	BJ25	BJ26	BJ27	BJ28	BJ29	BJ30	BJ31	BJ32	BJ33	GZ16	GZ17	GZ18	GZ19	GZ20	GZ21	GZ22	GZ23	GZ24	GZ25	GZ26	GZ27	GZ28	GZ29
g__Actinomyces	0	0	0	0	0	0	0	0	0	0	0	611	0	0	0	0	229355	0	0	0	0	15266	0	0	42059	20824	0	0	0	0	41122	522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Corynebacterium	0	0	0	0	0	0	3713	0	0	0	0	93405	0	0	0	0	0	41	1470	3675	0	48618	0	513623	4059	312	0	0	0	0	26253	0	29529	0	0	0	0	0	47084	0	0	0	0	0	0	2106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Rothia	0	0	0	0	0	0	0	0	0	4057	0	0	0	904	0	0	4837	0	0	0	0	0	0	0	380405	90671	0	0	0	0	7235	528	0	0	0	32999	0	0	0	0	0	0	0	2536	0	0	0	76187	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Mycobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970	0	0	0	489	0	0	1573	0	0	2609	1010	0
g__Propionibacteriaceae_unclassified	0	0	1533	0	30421	2751	16799	3609	1528	0	4590	0	1685	12926	0	0	0	0	1844	0	0	0	3456	0	0	0	1844	0	0	0	0	0	0	0	0	0	0	3689	9222	0	6647	0	825	12009	931	0	0	1439	0	0	0	0	0	0	1844	0	1844	1844	0	0	1399	0
g__Propionibacterium	0	0	240	0	7104	2850	10489	61	953	3611	726	11254	2961	1407	267	0	0	0	0	0	0	3149	179	0	2352	15540	0	0	17734	0	0	0	0	0	0	0	0	0	0	0	26104	3275	2203	4241	4960	0	0	1731	0	0	0	0	0	0	0	0	0	0	0	0	3180	0
g__Bifidobacterium	0	0	253	177	0	0	0	0	0	0	0	0	24136	0	0	0	0	0	0	0	0	6685	0	0	36245	0	0	0	0	0	14161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Gardnerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Parascardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Scardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	861	69	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Atopobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1265	0	0	0	0	0	2609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Collinsella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Cryptobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Olsenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59401	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Bacteroidetes_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Bacteroides	0	0	2279	861	2173	0	0	2312	0	0	0	0	112057	0	2576	0	0	0	0	0	0	18598	10133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	1217	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Barnesiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Parabacteroides	0	0	0	0	0	0	0	0	0	0	0	0	42460	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Porphyromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	765	0	18311	0	0	2293	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Prevotella	0	0	0	0	0	4507	2072	0	0	0	0	0	0	995	4357	2770	1892	0	0	0	5716	7365	0	0	107953	0	0	0	311	0	2529	0	0	0	0	811	0	0	0	0	0	0	0	0	0	0	0	1913	6506	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alistipes	0	0	0	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	2025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Capnocytophaga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2751	0	0	0	0	0	757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3028	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Candidatus_Saccharibacteria_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Candidatus_Saccharibacteria_noname_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Deinococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Thermus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Gemella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Staphylococcus	0	0	0	0	0	0	0	107881	0	0	0	0	64133	0	0	0	0	0	0	18315	0	0	0	6448	0	10096	0	0	1967	0	2137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0
g__Abiotrophia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Granulicatella	0	0	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2902	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Enterococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2669	0	0	801	0	6841	55948	0	1323	0	0	0	0	0	4393	0	1324	0	0	0	0	0	0	0	0	0	0	0	0	4331	0	0	0	0	0	0	0	0	0	0	0	0	0	0
